antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_text,consequents_text,rule_type
['keyword:monte'],['keyword:monte_carlo'],0.0010250768807660575,0.0015251143835787685,0.0010250768807660575,1.0,655.6885245901639,1.0,0.0010235135212709272,inf,0.9994994493943339,0.6721311475409837,1.0,0.8360655737704918,['keyword:monte'],['keyword:monte_carlo'],keyword_to_keyword
['keyword:monte_carlo'],['keyword:monte'],0.0015251143835787685,0.0010250768807660575,0.0010250768807660575,0.6721311475409836,655.6885245901639,1.0,0.0010235135212709272,3.0468735155136635,1.0,0.6721311475409837,0.6717947118879948,0.8360655737704918,['keyword:monte_carlo'],['keyword:monte'],keyword_to_keyword
['keyword:quantum_discord'],['keyword:discord'],0.001375103132734955,0.0016751256344225817,0.001275095632172413,0.9272727272727272,553.5541383989145,1.0,0.0012727921616647938,13.726967022526685,0.9995680010525065,0.7183098591549296,0.9271506955353687,0.8442333785617367,['keyword:quantum_discord'],['keyword:discord'],keyword_to_keyword
['keyword:discord'],['keyword:quantum_discord'],0.0016751256344225817,0.001375103132734955,0.001275095632172413,0.7611940298507462,553.5541383989145,1.0,0.0012727921616647938,4.1817417556316725,0.999868397145986,0.7183098591549296,0.7608651948310124,0.8442333785617367,['keyword:discord'],['keyword:quantum_discord'],keyword_to_keyword
['keyword:holes'],['keyword:black_holes'],0.001375103132734955,0.0016251218841413105,0.001000075005625422,0.7272727272727274,447.5188811188812,1.0,0.0009978402954314632,3.660707886424817,0.9991393770967903,0.5000000000000001,0.7268287907624782,0.6713286713286715,['keyword:holes'],['keyword:black_holes'],keyword_to_keyword
['keyword:black_holes'],['keyword:holes'],0.0016251218841413105,0.001375103132734955,0.001000075005625422,0.6153846153846155,447.5188811188812,1.0,0.0009978402954314632,2.5964247318548903,0.9993895872984073,0.5000000000000001,0.6148550012903327,0.6713286713286715,['keyword:black_holes'],['keyword:holes'],keyword_to_keyword
['keyword:quantum_mechanics'],['keyword:mechanics'],0.001925144385828937,0.002200165012375928,0.0010750806310473285,0.5584415584415584,253.8180342384888,1.0,0.0010708449957258558,2.259723155707266,0.9979814279722236,0.35245901639344257,0.5574679148309156,0.523538961038961,['keyword:quantum_mechanics'],['keyword:mechanics'],keyword_to_keyword
['keyword:mechanics'],['keyword:quantum_mechanics'],0.002200165012375928,0.001925144385828937,0.0010750806310473285,0.48863636363636365,253.8180342384888,1.0,0.0010708449957258558,1.9517908287566013,0.9982564986507095,0.35245901639344257,0.4876500159409729,0.523538961038961,['keyword:mechanics'],['keyword:quantum_mechanics'],keyword_to_keyword
['keyword:time_series'],['keyword:series'],0.002875215641173088,0.002925219391454359,0.0013250993824536841,0.4608695652173913,157.55042735042736,1.0,0.0013166887459055117,1.8494128995158508,0.9965180300755152,0.29608938547486036,0.45928786359077234,0.4569305091044221,['keyword:time_series'],['keyword:series'],keyword_to_keyword
['keyword:series'],['keyword:time_series'],0.002925219391454359,0.002875215641173088,0.0013250993824536841,0.452991452991453,157.55042735042736,1.0,0.0013166887459055117,1.8228687464059803,0.9965680059045061,0.29608938547486036,0.45141415037608806,0.4569305091044221,['keyword:series'],['keyword:time_series'],keyword_to_keyword
['keyword:gamma_ray'],['keyword:gamma'],0.0024251818886416483,0.004600345025876941,0.0017501312598444884,0.7216494845360825,156.8685567010309,1.0,0.001738974586406229,3.5760654271292567,0.9960408163265306,0.33175355450236965,0.7203630581214601,0.5510421335723891,['keyword:gamma_ray'],['keyword:gamma'],keyword_to_keyword
['keyword:gamma'],['keyword:gamma_ray'],0.004600345025876941,0.0024251818886416483,0.0017501312598444884,0.3804347826086957,156.8685567010309,1.0,0.001738974586406229,1.6101207590569293,0.9982173805397376,0.33175355450236965,0.37892857142857145,0.5510421335723891,['keyword:gamma'],['keyword:gamma_ray'],keyword_to_keyword
['keyword:black_hole'],['keyword:black'],0.002100157511813386,0.0053003975298147364,0.0017001275095632172,0.8095238095238095,152.72888589398022,1.0,0.0016889958398753797,5.222172912968473,0.9955432477403057,0.2982456140350877,0.8085088302004225,0.5651392632524708,['keyword:black_hole'],['keyword:black'],keyword_to_keyword
['keyword:black'],['keyword:black_hole'],0.0053003975298147364,0.002100157511813386,0.0017001275095632172,0.32075471698113206,152.72888589398022,1.0,0.0016889958398753797,1.4691303236631634,0.9987462020122867,0.2982456140350877,0.31932519267141884,0.5651392632524708,['keyword:black'],['keyword:black_hole'],keyword_to_keyword
